chunk_id,content,content_length,chapter,class,content_type,difficulty,page,paragraph_index,source_file,subject,topic
fecu103_20260201_103715_0_9ae88c32,"3 Mindful Eating: A Path to a Healthy Body कोऽरुक्? कोऽरुक्? कोऽरुक्? हितभुक् हितभुक् ऋतुभुक् (सभु ाहित) Who is healthy? Who is healthy? Who is healthy? One who eats food that is wholesome, in moderate quantities, and appropriate for the season, time, and place. (Wise saying) Medu and Mishti read ‘thought of the day’ on अन्‍ने्‍ जाताह्‍ जीवहनत the school noticeboard annena jātāni jivanti every day. Today’s thought, ‘annena jātāni jivanti’, makes them curious. Mishti tells Medu that it is a Sanskrit saying which means ‘food gives life to living beings.’ Let us try to understand the significance of this saying. 3.1 What Do We Eat? Activity 3.1: Let us record All of us eat food every day. Food is an essential component of our daily life. List the food items you have consumed over the week in Table 3.1. Reprint 2025-26 Chapter 3.indd 35 10/4/2024 3:16:48 PM retpahC",873,Unknown,6,example,easy,1,0,fecu103.pdf,Science,What Do We Eat?
fecu103_20260201_103715_10_f1b41cd6,"From Fig. 3.5, you have learnt that vitamins (A, B , C 1 and D) and minerals (calcium, iodine, and iron) are two groups of food components that protect our body from various diseases. But, how can we overcome vitamin and mineral deficiency diseases or disorders? Rice Papaya Wheat Flax seeds Mango Paneer Carrot Pumpkin seeds (a) Some sources of Vitamin A (b) Some sources of Vitamin B 1 Butter Orange Guava Fish Green Tomato chilli Eggs Edible Mushroom Amla Lemon (c) Some sources of Vitamin C (d) Some sources of Vitamin D Fig. 3.6: Some sources of different vitamins Food components that provide energy, support growth, help repair and protect our body from diseases, and maintain various bodily functions are called nutrients. The major nutrients in our food include carbohydrates, proteins, fats, vitamins and minerals. Vitamins and minerals are also called protective nutrients. These nutrients protect our body from diseases and keep us healthy. Your parents may have advised you to have 45 Reprint 2025-26 Chapter 3.indd 45 10/4/2024 3:19:54 PM htaP A :gnitaE lufdniM ydoB yhtlaeH a ot",1093,Unknown,6,question,easy,11,0,fecu103.pdf,Science,to explore the functions
fecu103_20260201_103715_11_d75ff785,"milk, green vegetables, fruits and wholegrains regularly. These food items are some sources of vitamins (Fig. 3.6) and minerals. Although vitamins and minerals are required in small amounts, they are essential to keep our body healthy. What differences do you observe in raw and cooked vegetables? Have you ever noticed that vegetables sometimes lose their bright colour, or become softer and less crisp when cooked? Some nutrients like vitamin C and others are lost during cooking due to high heat. Would it not be wise to include fruits and uncooked vegetables into our diet? Washing cut or peeled vegetables and fruits may also result in the loss of some vitamins. However, it is highly recommended that all fruits and vegetables be thoroughly washed before consumption. plaD n no u ts tw r aie ne n do b t ast n a fr ii mn om aa ll sl ? sN a so elt, a cM wae and t ebu re. oN o rbu ftt rar oii ne mn e dt rs o fl cri kok se m . Also, Vitamin D can be naturally produced by our body upon exposure to sunlight. Fruits and vegetables are rich in dietary fibres. Let us see how dietary fibres are beneficial for us. In addition to the essential nutrients, our body needs dietary fibres and water. Dietary fibres, also known as roughage, do not provide any nutrients to our body. However, they are an essential component of our food. They help our body get rid of undigested food and ensure smooth passage of stools. Roughage in our food is provided mainly by suitable plant products. 46 Reprint 2025-26 Chapter 3.indd 46 10/4/2024 3:19:56 PM 6 edarG | ecneicS fo koobtxeT | ytisoiruC",1583,Unknown,6,example,easy,12,0,fecu103.pdf,Science,to explore the functions
fecu103_20260201_103715_12_3c22aeeb,"G f p sr our e ue ls s re h e cn s ef sr a u n ol i fde t s r a n, of uy w u t gh s h o a av l r gee e egg .r ge a ot ia onb dsl ,e s, pM a w es hy s ai y tg n fr tg oha osn et d d o d m o to hl c.a a tN o th ro ia s w as h d d I iv g i uffi i hsn ec id d nu e l h firty s e bt r ri a n etn o .d Eating food that is locally grown and plant based, to the extent possible, is not only healthy for the body but is also good for our environment and our planet. Water is also an essential part of our diet. It helps the What are the body absorb nutrients from food sources that food. It removes waste from provide water to the body through sweat ? our body? List a few and urine. We should drink of them. sufficient water regularly to keep ourselves healthy. Know a scientist Coluthur Gopalan (1918–2019) initiated nutrition research in India. He analysed more than 500 Indian foods for their nutritional value and recommended an appropriate diet in the Indian context. He led surveys on the nutritional status of the Indian population, identifying widespread deficiencies in protein, energy, and other food components. This led to the implementation of the Mid Day Meal Programme in 2002, now a ‘PM POSHAN’ initiative, to provide balanced food in the government-run and government-aided schools of our country. This scheme has played a role in improving the health and nutrition of millions of children nationwide. 47 Reprint 2025-26 Chapter 3.indd 47 10/4/2024 3:20:01 PM htaP A :gnitaE lufdniM ydoB yhtlaeH a ot",1509,Unknown,6,question,easy,13,0,fecu103.pdf,Science,to explore the functions
fecu103_20260201_103715_13_c9d72db4,"3.3 How to Test Different Components 3.3.2 Test for fats of Food? Activity 3.6: Let us investigate Let us find out which nutrients are present in various  Take a small part of the food items that you tested for food items. the presence of starch in Activity 3.5. Some nutrients like starch (a type of carbohydrate), fat  Place each food item on a separate piece of paper. and protein can be detected using fairly simple tests, while others can be detected only in a well-equipped laboratory.  Wrap the paper around the food and press it. Be careful Let us explore how we can detect the presence of starch, not to tear the paper. fat and protein in some food items.  If a food item contains a little water, allow the paper to dry. 3.3.1 Test for starch Does the paper develop an oily patch? What do you think is the reason for this patch? If oil or butter is present in the Activity 3.5: Let us investigate food item, it leaves an oily patch on the paper. Now, hold  Take a small quantity of the food items such as a slice of the paper against light. Can you see the light faintly shining potato, cucumber, bread, some boiled rice, boiled gram, through this patch? An oily patch on the paper shows that crushed peanuts, oil, butter and crushed coconut. You the food item contains fat. Which of these items contain fats? can take other food items too for testing. Record your observations in Table 3.3. 3.3.3 Test for proteins Activity 3.7: Let us investigate This activity may be demonstrated by the teacher.  Take the food items tested in previous activities.  Make a paste or powder of the food item using pestle and mortar (Fig. 3.8).  Put about half teaspoon of each food item in a separate clean test tube. Fig. 3.7: Testing for the presence of starch in various food items  Place a small piece of each item on a separate dish.  With the help of a dropper, put 2–3 drops of diluted iodine solution on each food item (Fig. 3.7).  Observe if there are any changes in the colour of the food items. Have they turned blue-black? Record your observations in Table 3.3. A blue-black colour indicates the presence of starch. 48 Reprint 2025-26 Chapter 3.indd 48 10/4/2024 3:20:27 PM 6 edarG | ecneicS fo koobtxeT | ytisoiruC",2231,Unknown,6,example,easy,14,0,fecu103.pdf,Science,How to Test Different Components 3.3.2 Test for fats
fecu103_20260201_103715_14_1534b81b,"3.3 How to Test Different Components 3.3.2 Test for fats of Food? Activity 3.6: Let us investigate Let us find out which nutrients are present in various  Take a small part of the food items that you tested for food items. the presence of starch in Activity 3.5. Some nutrients like starch (a type of carbohydrate), fat  Place each food item on a separate piece of paper. and protein can be detected using fairly simple tests, while others can be detected only in a well-equipped laboratory.  Wrap the paper around the food and press it. Be careful Let us explore how we can detect the presence of starch, not to tear the paper. fat and protein in some food items.  If a food item contains a little water, allow the paper to dry. 3.3.1 Test for starch Does the paper develop an oily patch? What do you think is the reason for this patch? If oil or butter is present in the Activity 3.5: Let us investigate food item, it leaves an oily patch on the paper. Now, hold  Take a small quantity of the food items such as a slice of the paper against light. Can you see the light faintly shining potato, cucumber, bread, some boiled rice, boiled gram, through this patch? An oily patch on the paper shows that crushed peanuts, oil, butter and crushed coconut. You the food item contains fat. Which of these items contain fats? can take other food items too for testing. Record your observations in Table 3.3. 3.3.3 Test for proteins Activity 3.7: Let us investigate This activity may be demonstrated by the teacher.  Take the food items tested in previous activities.  Make a paste or powder of the food item using pestle and mortar (Fig. 3.8).  Put about half teaspoon of each food item in a separate clean test tube. Precautions • These chemicals are harmful and need to be handled with care. Do not touch any of these chemicals unless asked to do so. • If any chemical gets spilled on your body, immediately wash the affected area with water. • Do not put any of these chemicals into your mouth, or try to smell them. 49 Reprint 2025-26 Chapter 3.indd 49 10/4/2024 3:20:29 PM htaP A :gnitaE lufdniM ydoB yhtlaeH a ot",2119,Unknown,6,example,easy,15,0,fecu103.pdf,Science,How to Test Different Components 3.3.2 Test for fats
fecu103_20260201_103715_15_cfa1dd52," Add 2–3 teaspoons of water to each test tube and shake them well.  Add two drops of copper sulphate solution to each test tube using a dropper.  Now, take another dropper and add 10 drops of caustic soda solution to each tube (Fig. 3.8).  Shake well and leave the test tubes undisturbed for a few minutes. Soya bean 3.4 Balanced Diet Peas Are nutritional requirements the same for everyone? Do you and your grandparents need the same type or the same Pestle and mortar Bread Rice Peanuts amount of nutrients? Requirements of the type and amount Fig. 3.8: Testing for the presence of protein in various food items of nutrients in a diet may vary according to age, gender, physical activity, health status, lifestyle, and so on. What did you observe? Did the content of some test tubes turn violet? This violet colour indicates the presence Activity 3.8: Let us find out of proteins in the food item. Write your observations in Table 3.3. You have listed food consumed by you during the week What conclusions can you draw from Table 3.3? Which in Activity 3.1. Check whether your food contains all the food items show the presence of more than one nutrient? nutrients and other essential components necessary for Which food items show the presence of both proteins and growth and development. If not, check which nutrients or fats? Peanuts show the presence of both proteins and fats. other food components need to be added. This indicates that any food which we eat may contain A diet that has all essential nutrients, roughage, and water multiple nutrients. Is there a food item that lacks any of in the right amount for proper growth and development of these nutrients? Which of these foods do you consume the body is known as a balanced diet. What changes would daily? Try to find out other foods that are good sources of you make in your diet to make it a balanced diet? starch, fats, and proteins. 50 Reprint 2025-26 Chapter 3.indd 50 10/4/2024 3:20:30 PM 6 edarG | ecneicS fo koobtxeT | ytisoiruC",2006,Unknown,6,example,easy,16,0,fecu103.pdf,Science,Balanced Diet
fecu103_20260201_103715_16_8c4fd8d9,"Table 3.3: Exploring nutrients present in various food items Starch Fat Protein Name of Colour of the Oily patch for fat Colour of the food item present present present the food food item for test for protein test (Yes/ (Yes/ (Yes/ item starch test No) No) No) Before After Predic- Observa- Before After iodine iodine tion tion protein protein test test (Yes/No) (Yes/No) test test Potato Cucumber Boiled rice Boiled gram Peanuts Bread/ Chapati Butter Coconut Any other 3.4 Balanced Diet Are nutritional requirements the same for everyone? Do you and your grandparents need the same type or the same amount of nutrients? Requirements of the type and amount of nutrients in a diet may vary according to age, gender, physical activity, health status, lifestyle, and so on. Activity 3.8: Let us find out You have listed food consumed by you during the week in Activity 3.1. Check whether your food contains all the nutrients and other essential components necessary for growth and development. If not, check which nutrients or other food components need to be added. A diet that has all essential nutrients, roughage, and water in the right amount for proper growth and development of the body is known as a balanced diet. What changes would you make in your diet to make it a balanced diet? 51 Reprint 2025-26 Chapter 3.indd 51 10/4/2024 3:20:31 PM htaP A :gnitaE lufdniM ydoB yhtlaeH a ot",1387,Unknown,6,example,easy,17,0,fecu103.pdf,Science,Balanced Diet
fecu103_20260201_103715_17_1b8c0a94,"Activity 3.9: Let us compare Read the nutritional information given below for a packet of potato wafers and a packet of roasted chana shown here. (a) Potato wafers (b) Roasted chana Nutritional Information Nutritional Information (per 100 g) (per 100 g) 536 kcal 355 kcal Energy Energy 3.5 Millets: Nutrition-rich Cereals (kilocalories) (kilocalories) You may have heard Fats 35.0 g Fats 6.26 g of jowar, bajra, ragi, Carbohydrates 53.0 g Carbohydrates 58.58 g and sanwa (Fig. 3.9). These are native crops Proteins 7.0 g Proteins 18.64 g of India (Fig. 3.9). Dietary Fibre 4.8 g Dietary Fibre 16.8 g These can be easily cultivated in different Based on the nutritional information on the food packets climatic conditions. given above, which food would you choose? Why? These highly nutritious Some foods have high calories due to high sugar and grains are also called fat content. Moreover, they contain very low amounts of millets. Have you ever proteins, minerals, vitamins, and dietary fibres. These foods had food items made are called junk foods. These foods include potato wafers, from these millets? candy bars and carbonated drinks. Consuming these foods Millets are small-sized grains and have been an integral frequently is not good as these are not healthy for our body. part of the Indian diet for centuries. They have regained They make a person obese. Such a person may suffer from popularity due to their numerous health benefits. They are several health problems. You should always remember good sources of vitamins, minerals like iron and calcium, Dr Poshita’s statement that ʻHealth is the Ultimate Wealth.ʼ and dietary fibres as well. That is the reason they are We should take care of our body to stay healthy. Eating a also called nutri-cereals. They contribute significantly to balanced diet and avoiding junk food contribute towards a balanced diet required for the normal functioning of our body. 52 Reprint 2025-26 Chapter 3.indd 52 10/4/2024 3:20:38 PM 6 edarG | ecneicS fo koobtxeT | ytisoiruC",2020,Unknown,6,example,easy,18,0,fecu103.pdf,Science,Millets: Nutrition-rich Cereals
fecu103_20260201_103715_18_dd0193c5,"Activity 3.9: Let us compare a healthy body. Good health is essential for leading a happy life. Read the nutritional information given below for a packet Which of the two foods you studied in Activity 3.9 could be of potato wafers and a packet of roasted chana shown here. labelled as junk food? Packaged food items must have information about the nutrients on their cover. The information should list the amount of each nutrient. Sometimes, more nutrients are added to the food during processing (fortification) to improve its nutritional quality. Iodised salt and some baby foods are examples of fortified foods. The Food Safety and Standard Authority of India (FSSAI) is a government agency More to that regulates food quality in India. know! 3.5 Millets: Nutrition-rich Cereals You may have heard of jowar, bajra, ragi, and sanwa (Fig. 3.9). These are native crops of India (Fig. 3.9). These can be easily cultivated in different climatic conditions. These highly nutritious grains are also called millets. Have you ever had food items made from these millets? Fig. 3.9: Sanwa (Barnyard millet) Millets are small-sized grains and have been an integral part of the Indian diet for centuries. They have regained popularity due to their numerous health benefits. They are good sources of vitamins, minerals like iron and calcium, and dietary fibres as well. That is the reason they are also called nutri-cereals. They contribute significantly to a balanced diet required for the normal functioning of our body. 53 Reprint 2025-26 Chapter 3.indd 53 10/4/2024 3:20:58 PM htaP A :gnitaE lufdniM ydoB yhtlaeH a ot",1610,Unknown,6,example,easy,19,0,fecu103.pdf,Science,could be
fecu103_20260201_103715_19_759daea1,"3.6 Food Miles: From Farm to Our Plate How does food reach from a farm to our plate? What are the steps involved in this process? Who are the people involved in this process? Do you know how much time and effort is required to get the wheat flour once seed grains germinate in the farm? Let us look at Fig. 3.10 to understand the entire process of making the chapati that we eat. Farmer growing wheat Food on our plate Threshing and winnowing of grains STORY OF CHAPATI: FROM FARM TO PLATE Storage of Transport to retail shop grains Grinding of grains and packing Fig. 3.10: From farm to plate The entire distance travelled by a bag of wheat or any other food item, from the producer to the consumer, is known as its food miles. Reducing food miles is important because it helps to cut down the cost and pollution during its transport; it helps support local farmers; and it also keeps our food fresh and healthy. 54 Reprint 2025-26 Chapter 3.indd 54 10/4/2024 3:21:27 PM 6 edarG | ecneicS fo koobtxeT | ytisoiruC",1013,Unknown,6,example,easy,20,0,fecu103.pdf,Science,Food Miles: From Farm to Our Plate
fecu103_20260201_103715_1_66831df3,"Table 3.1: Food items consumed over a week Day Food items Monday Tuesday Wednesday Thursday Friday Saturday Sunday What observations can you make about your food from the data collected in Table 3.1? Do you eat the same kind of food in every meal or do your choices vary? Compare your list with those prepared by your friends. Find similarities and differences in the food consumed by you and your friends. What did you find? Record your findings in your notebook. You may have noticed that there is a variety in the food eaten by you and your friends. Do you think that such diversity in food exists in all states of our country? 3.1.1 Food in different regions Activity 3.2: Let us explore  Find out the types of food traditionally consumed and the crops grown in various states of India. You may refer to books in your library, search the internet, and interact with your friends, family and neighbours to collect information. 36 Reprint 2025-26 Chapter 3.indd 36 10/4/2024 3:16:48 PM 6 edarG | ecneicS fo koobtxeT | ytisoiruC",1030,Unknown,6,example,easy,2,0,fecu103.pdf,Science,Food in different regions
fecu103_20260201_103715_20_8e4e5ac2,"Many people waste food, leaving it How would unconsumed on their plates. One must eating local remember the time and effort put by our food help ? farmers and other community members in reduce food getting the food from the farm to our plate. miles? We must take only as much food as we can consume. It would reduce food wastage. Try to find the timeline for the various processes involved in getting the food from farm to plate (Fig. 3.10). Eat healthy, share, and respect food. Support local producers! Keywords Carbohydrate Millets Analyse Culinary practices Minerals Compare Deficiency diseases Nutrients Infer Fats Proteins Interpret Food components Rickets Investigate Food miles Roughage Observe Iodized salt Scurvy Prediction Vitamins Survey Summary  People across India eat diverse types of food, containing various food components.  Choice of food may vary according to the cultivation of food crops in a region, taste preferences, culture and traditions, and so on. 55 Reprint 2025-26 Chapter 3.indd 55 10/4/2024 3:21:46 PM htaP A :gnitaE lufdniM ydoB yhtlaeH a ot",1077,Unknown,6,question,easy,21,0,fecu103.pdf,Science,Food Miles: From Farm to Our Plate
